SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,word,base,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,famsize
S103,869,1,NW_L_COMP,204,15,FREENELS,BA_m21,freenels,free,Simple,ness,Crepaldi,88,7277,8.89,L,L,4,8,1,Large
S103,735,1,NW_L_COMP,204,16,FLIPODY,BA_m21,flipody,flip,Simple,ory,Crepaldi,10,184,5.21,L,S,4,7,1,Large
S103,847,1,NW_L_COMP,204,17,FELLOWOES,BA_m21,fellowoes,fellow,Simple,ous,Crepaldi,11,1324,7.19,L,L,6,9,1,Large
S103,510,0,NW_L_COMP,204,18,BOIL,BA_m21,boil,boil,Simple,ous,Graves,13,1102,7,L,L,4,7,1,Large
S103,720,1,NW_L_COMP,204,19,KINGILM,BA_m21,kingilm,king,Simple,ish,Rastle,11,2275,7.73,L,L,4,7,1,Large
S103,688,1,NW_L_COMP,204,20,IME,BA_m21,ime,north,Simple,ize,Rastle,30,2541,7.84,L,L,5,8,1,Large
S103,709,1,NW_L_COMP,204,21,EMPLOYNELS,BA_m21,employnels,employ,Simple,ness,Rastle,12,4622,8.44,L,L,6,10,1,Large
S103,993,0,NW_L_COMP,204,22,BINDIG,BA_m21,bindig,bind,Simple,ic,RastleFiller,14,451,6.11,L,S,4,6,1,Large
S103,907,1,NW_L_COMP,204,23,BREAKIDY,BA_m21,breakidy,break,Simple,ity,RastleFiller,43,6366,8.76,L,L,5,8,1,Large
S103,879,1,NW_L_COMP,204,24,AGREELA,BA_m21,agreela,agree,Simple,ly,RastleFiller,9,4745,8.46,L,L,5,7,1,Large
S103,746,1,NW_L_COMP,204,25,PITCHODY,BA_m21,pitchody,pitch,Simple,ory,RastleFiller,10,610,6.41,L,S,5,8,1,Large
S103,688,1,NW_S_SIMP,205,1,SOCKETER,BA_m21,socketer,socket,Complex,er,Crepaldi,1,143,4.96,S,S,6,8,2,Small
S103,894,1,NW_S_SIMP,205,2,GUMFUL,BA_m21,gumful,gum,Complex,ful,Crepaldi,2,57,4.04,S,S,3,6,2,Small
S103,941,0,NW_S_SIMP,205,3,HEIRIC,BA_m21,heiric,heir,Complex,ic,Crepaldi,3,211,5.35,S,S,4,6,2,Small
S103,995,0,NW_S_SIMP,205,4,AIDIC,BA_m21,aidic,aid,Complex,ic,Crepaldi,4,1159,7.06,S,L,3,5,2,Small
S103,947,1,NW_S_SIMP,205,5,URNIST,BA_m21,urnist,urn,Complex,ist,Crepaldi,2,68,4.22,S,S,3,6,2,Small
S103,990,0,NW_S_SIMP,205,6,RAMPIZE,BA_m21,rampize,ramp,Complex,ize,Crepaldi,1,95,4.55,S,S,4,7,2,Small
S103,989,0,NW_S_SIMP,205,7,JAWLY,BA_m21,jawly,jaw,Complex,ly,Crepaldi,7,414,6.03,S,S,3,5,2,Small
S103,993,0,NW_S_SIMP,205,8,OPPOSEMENT,BA_m21,opposement,oppose,Complex,ment,Crepaldi,1,994,6.9,S,L,6,10,2,Small
